A,B,C,D,Count,Zhat,Kstd,Zeta,pValue
00279491,356308,5090204,399.8600000000000136,73,397.962496627827818,2.536345689224496436,0.7481249027818321906,0.2271924112416668917
00442989,354335,5090043,399.8899999999999864,73,395.8579208929660922,3.291061115143258942,1.225160811654626203,0.1102573182331962887
00473322,356466,5090007,401.3899999999999864,72,397.9487049529604974,2.824414401434664601,1.218410104866863408,0.1115340835180369528
00400993,356274,5090073,398.7599999999999909,73,398.2419718476488697,2.535279926298353192,0.2043277931472721187,0.4190486761526978077
00866402,356502,5089983,394.589999999999975,72,397.7872663392258232,2.913318778526444497,-1.097465324698529754,0.1362190153869777542
00636064,355175,5089923,394.2799999999999727,73,396.1943883181332922,2.679238664519445035,-0.7145269824167340689,0.2374506887562160273
00571861,355324,5089757,396.5400000000000205,73,395.7295372648842431,2.56234715730270679,0.3162970063622929096,0.3758885415940886876
00456464,355487,5093140,391.7599999999999909,73,393.7653616334934554,2.961569658745975442,-0.6771279640751720619,0.2491623838758682263
00723551,354920,5092828,392.4300000000000068,73,390.6551974735884301,2.715669800706480785,0.6535413568872998624,0.2567036681933375641
00554407,355191,5092984,392.3100000000000023,73,392.1334996406217783,2.576571626534752912,0.06850201933473915039,0.4726930063286424177
00526508,355242,5092840,392.2799999999999727,73,391.1585732940740172,2.330263030209955843,0.4812446884268319347,0.3151713015745626345
00252771,355348,5092868,391.910000000000025,72,392.1791080112314489,2.456808247646424803,-0.1095356186178649549,0.4563888360743386108
00632663,355348,5092868,391.910000000000025,72,392.1791080112314489,2.456808247646424803,-0.1095356186178649549,0.4563888360743386108
00321894,355346,5092395,393.4700000000000273,73,393.1783557660211841,2.54812891498689309,0.1144542696656865727,0.4544388478119403274
00855323,355071,5091900,394.0799999999999841,73,395.5939306665601407,2.537581892027128028,-0.596603668759144834,0.2753860106139950914
00420572,355151,5092012,396.3000000000000114,73,394.2762236617412555,2.530735226624136303,0.799679206646348395,0.2119483416322324176
00419971,355284,5092239,394.1700000000000159,72,394.2965783304882166,2.629521602576029515,-0.04813739897181194827,0.4808033703354854249
00433935,355141,5091465,394.839999999999975,73,395.1574416711600861,2.287806656433734265,-0.1387537142911122456,0.4448223853603756051
00299933,355058,5091518,395.3899999999999864,73,395.2146872780433569,2.375016299681542264,0.07381537633242205021,0.470578645930067152
00546825,355167,5091729,394.9900000000000091,73,395.2379642428559805,2.621688465188546147,-0.09458188726406832614,0.4623234686000949334
00627903,355086,5091418,394.8100000000000023,73,395.3530195714861293,2.321521040511299372,-0.2339068059303613389,0.4075286647000518347
00703456,355890,5091076,395.8700000000000045,73,395.2779001657442564,2.567488789844296626,0.230614379543856024,0.4088071977225030684
00423668,356263,5090793,397.8199999999999932,73,396.5293927837779506,2.4764086764074138,0.5211608360597240752,0.3011273670358716181
00439433,356151,5090747,396.4499999999999886,73,395.4087538172344125,2.055448991341963794,0.5065784590868227522,0.3062253128745217046
00275847,356106,5090831,395.6000000000000227,73,395.5546535341836147,2.182823932329594374,0.02077422056116660226,0.4917128811562684332
00660381,355632,5090724,394.8700000000000045,71,394.8325371636993282,2.643462023945592154,0.01417188367425831208,0.4943464256561743708
00208682,355255,5090828,395.4800000000000182,73,395.4196809354090192,2.799517111339379305,0.02154623893766465306,0.4914049593368158275
00425165,355632,5090724,394.8700000000000045,71,394.8325371636993282,2.643462023945592154,0.01417188367425831208,0.4943464256561743708
00350041,355769,5090805,394.8700000000000045,73,394.7218905661819122,2.511734432195882327,0.05896699584143846179,0.476489197926968755
00647119,356127,5090937,396.6999999999999886,73,396.0033544064260127,2.464800520865403133,0.2826377176070136166,0.3887272821085515639
00325302,355632,5090724,394.8700000000000045,71,394.8325371636993282,2.643462023945592154,0.01417188367425831208,0.4943464256561743708
00668144,355288,5090570,395.3899999999999864,73,395.4392141227602337,2.870626791235340924,-0.01714403380840344784,0.4931608550833505022
00684538,355846,5090103,395.6000000000000227,73,395.54335994656293,2.876140776718222991,0.01969307409970420461,0.4921441078888024734
00712016,355291,5089848,395.9399999999999977,73,395.6402476918527782,2.390833434707680727,0.125375655114957546,0.4501130802127442099
